Data :: 
 [2.11052840e+02 9.80391537e+00]
 [2.11107080e+02 6.77351952e+00]
 [2.11161310e+02 1.07430392e+01]
 [2.11215530e+02 1.07124736e+01]
 [2.11269750e+02 3.68181619e+00]
 [2.11323970e+02 6.65106599e+00]
 [2.11378180e+02 8.62022784e+00]
 [2.11432390e+02 4.58929522e+00]
 [2.11486590e+02 4.55827302e+00]
 [2.11540790e+02 9.52715472e+00]
 [2.11594980e+02 5.49594529e+00]
 [2.11649180e+02 6.46463242e+00]
 [2.11703360e+02 3.43323271e+00]
 [2.11757550e+02 9.40172806e+00]
 [2.11811720e+02 7.37013522e+00]
 [2.11865900e+02 7.33843602e+00]
 [2.11920070e+02 6.30664147e+00]
 [2.11974240e+02 6.27474507e+00]
 [2.12028400e+02 4.24275210e+00]
 [2.12082550e+02 9.21066200e+00]
 [2.12136710e+02 1.01784623e+01]
 [2.12190860e+02 8.14616434e+00]
 [2.12245000e+02 7.11376759e+00]
 [2.12299140e+02 1.00812656e+01]
 [2.12353280e+02 1.30486577e+01]
 [2.12407410e+02 1.10159497e+01]
 [2.12461540e+02 7.98313486e+00]
 [2.12515670e+02 6.95021286e+00]
 [2.12569790e+02 1.91718933e+00]
 [2.12623900e+02 7.88406391e+00]
 [2.12678010e+02 4.85083011e+00]
 [2.12732120e+02 1.81748755e+00]
 [2.12786230e+02 2.78403587e+00]
 [2.12840330e+02 4.75048095e+00]
 [2.12894420e+02 6.71682252e+00]
 [2.12948510e+02 1.68305409e+00]
 [2.13002600e+02 7.64917538e+00]
 [2.13056680e+02 8.61519243e+00]
 [2.13110760e+02 8.58109874e+00]
 [2.13164830e+02 3.54690043e+00]
 [2.13218900e+02 6.51259099e+00]
 [2.13272970e+02 6.47817026e+00]
 [2.13327030e+02 7.44364447e+00]
 [2.13381090e+02 5.40900712e+00]
 [2.13435140e+02 6.37426453e+00]
 [2.13489190e+02 9.33941020e+00]
 [2.13543230e+02 5.30445053e+00]
 [2.13597280e+02 4.26937252e+00]
 [2.13651310e+02 1.02341956e+01]
 [2.13705340e+02 8.19890688e+00]
 [2.13759370e+02 7.16350627e+00]
 [2.13813400e+02 1.11279938e+01]
 [2.13867420e+02 8.09237614e+00]
 [2.13921430e+02 9.05665340e+00]
 [2.13975440e+02 6.02081906e+00]
 [2.14029450e+02 8.98487324e+00]
 [2.14083450e+02 8.94882272e+00]
 [2.14137450e+02 2.91266101e+00]
 [2.14191440e+02 5.87639498e+00]
 [2.14245440e+02 8.84001138e+00]
 [2.14299420e+02 5.80353065e+00]
 [2.14353400e+02 6.76693955e+00]
 [2.14407380e+02 6.73023831e+00]
 [2.14461350e+02 2.69343403e+00]
 [2.14515320e+02 2.65652017e+00]
 [2.14569290e+02 6.61949704e+00]
 [2.14623250e+02 8.58237185e+00]
 [2.14677210e+02 4.54513807e+00]
 [2.14731160e+02 5.50780299e+00]
 [2.14785110e+02 5.47036009e+00]
 [2.14839050e+02 5.43281673e+00]
 [2.14892990e+02 7.39516640e+00]
 [2.14946920e+02 5.35741654e+00]
 [2.15000860e+02 9.31955360e+00]
 [2.15054780e+02 7.28159913e+00]
 [2.15108710e+02 1.32435325e+01]
 [2.15162620e+02 1.02053755e+01]
 [2.15216540e+02 1.11671075e+01]
 [2.15270450e+02 7.12874305e+00]
 [2.15324350e+02 1.00902829e+01]
 [2.15378260e+02 1.50517134e+01]
 [2.15432150e+02 1.30130566e+01]
 [2.15486050e+02 1.49742916e+01]
 [2.15539940e+02 1.59354335e+01]
 [2.15593820e+02 1.08964829e+01]
 [2.15647700e+02 1.48574335e+01]
 [2.15701580e+02 1.38182858e+01]
 [2.15755450e+02 2.17790479e+01]
 [2.15809320e+02 1.67397133e+01]
 [2.15863180e+02 2.87002900e+01]
 [2.15917040e+02 2.06607716e+01]
 [2.15970900e+02 1.36211589e+01]
 [2.16024750e+02 1.45814601e+01]
 [2.16078590e+02 1.45416760e+01]
 [2.16132440e+02 1.65017927e+01]
 [2.16186270e+02 1.24618334e+01]
 [2.16240110e+02 1.24217767e+01]
 [2.16293940e+02 1.13816384e+01]
 [2.16347760e+02 1.13414195e+01]
 [2.16401580e+02 1.03011135e+01]
 [2.16455400e+02 1.12607214e+01]
 [2.16509210e+02 1.62202517e+01]
 [2.16563020e+02 2.21796979e+01]
 [2.16616830e+02 2.21390610e+01]
 [2.16670630e+02 2.80983498e+01]
 [2.16724420e+02 1.30575652e+01]
 [2.16778210e+02 1.10167009e+01]
 [2.16832000e+02 7.97575786e+00]
 [2.16885790e+02 9.93473732e+00]
 [2.16939560e+02 6.89365568e+00]
 [2.16993340e+02 6.85249123e+00]
 [2.17047110e+02 6.81126044e+00]
 [2.17100870e+02 7.76996457e+00]
 [2.17154640e+02 5.72858948e+00]
 [2.17208390e+02 6.68715952e+00]
 [2.17262150e+02 8.64565285e+00]
 [2.17315900e+02 9.60408619e+00]
 [2.17369640e+02 6.56246087e+00]
 [2.17423380e+02 7.52077050e+00]
 [2.17477120e+02 1.44790164e+01]
 [2.17530850e+02 9.43720775e+00]
 [2.17584580e+02 1.63953381e+01]
 [2.17638300e+02 1.63534167e+01]
 [2.17692020e+02 2.03114372e+01]
 [2.17745740e+02 1.72694011e+01]
 [2.17799450e+02 1.82273175e+01]
 [2.17853150e+02 1.31851880e+01]
 [2.17906860e+02 7.14299842e+00]
 [2.17960550e+02 7.10077385e+00]
 [2.18014250e+02 1.20584922e+01]
 [2.18067940e+02 1.00161709e+01]
 [2.18121620e+02 8.97381131e+00]
 [2.18175300e+02 4.93140732e+00]
 [2.18228980e+02 7.88896047e+00]
 [2.18282650e+02 8.46480324e-01]
 [2.18336320e+02 4.80396061e+00]
 [2.18389980e+02 1.27614109e+01]
 [2.18443640e+02 9.71882503e+00]
 [2.18497300e+02 4.67620462e+00]
 [2.18550950e+02 8.63355938e+00]
 [2.18604600e+02 2.05908831e+01]
 [2.18658240e+02 1.35481855e+01]
 [2.18711880e+02 1.95054604e+01]
 [2.18765510e+02 1.04627176e+01]
 [2.18819140e+02 8.41995084e+00]
 [2.18872760e+02 5.37717005e+00]
 [2.18926390e+02 1.03343611e+01]
 [2.18980000e+02 1.32915498e+01]
 [2.19033620e+02 1.22487140e+01]
 [2.19087220e+02 1.42058797e+01]
 [2.19140830e+02 1.91630249e+01]
 [2.19194430e+02 8.12016735e+00]
 [2.19248020e+02 7.07730913e+00]
 [2.19301610e+02 7.03444422e+00]
 [2.19355200e+02 5.99157460e+00]
 [2.19408780e+02 4.94871030e+00]
 [2.19462360e+02 7.90584535e+00]
 [2.19515930e+02 1.28629898e+01]
 [2.19569500e+02 1.08201378e+01]
 [2.19623070e+02 2.77729131e+00]
 [2.19676630e+02 7.73446053e+00]
 [2.19730190e+02 3.69163957e+00]
 [2.19783740e+02 3.64883857e+00]
 [2.19837290e+02 4.60605170e+00]
 [2.19890830e+02 1.15632891e+01]
 [2.19944370e+02 1.55205451e+01]
 [2.19997910e+02 4.47782180e+00]
 [2.20051440e+02 8.43512946e+00]
 [2.20104960e+02 2.39247032e+00]
 [2.20158490e+02 5.34983073e+00]
 [2.20212000e+02 3.30723686e+00]
 [2.20265520e+02 5.26466715e+00]
 [2.20319030e+02 9.22213984e+00]
 [2.20372530e+02 5.17965727e+00]
 [2.20426030e+02 5.13721384e+00]
 [2.20479530e+02 3.09481196e+00]
 [2.20533020e+02 4.05246195e+00]
 [2.20586510e+02 9.01015830e+00]
 [2.20639990e+02 6.96791136e+00]
 [2.20693470e+02 6.92571567e+00]
 [2.20746950e+02 4.88357371e+00]
 [2.20800420e+02 1.38414959e+01]
 [2.20853890e+02 1.27994767e+01]
 [2.20907350e+02 8.75752675e+00]
 [2.20960810e+02 6.71564056e+00]
 [2.21014260e+02 8.67382857e+00]
 [2.21067710e+02 5.63208553e+00]
 [2.21121150e+02 6.59042184e+00]
 [2.21174590e+02 9.54883231e+00]
 [2.21228030e+02 5.50731959e+00]
 [2.21281460e+02 1.34658941e+01]
 [2.21334890e+02 1.04245507e+01]
 [2.21388310e+02 1.43832999e+01]
 [2.21441730e+02 8.34213664e+00]
 [2.21495150e+02 7.30106361e+00]
 [2.21548560e+02 9.26009127e+00]
 [2.21601960e+02 1.32192223e+01]
 [2.21655360e+02 1.21784519e+01]
 [2.21708760e+02 1.21377828e+01]
 [2.21762150e+02 1.30972255e+01]
 [2.21815540e+02 1.00567751e+01]
 [2.21868930e+02 1.00164346e+01]
 [2.21922310e+02 1.59762143e+01]
 [2.21975680e+02 2.29361171e+01]
 [2.22029050e+02 1.68961384e+01]
 [2.22082420e+02 1.08562810e+01]
 [2.22135780e+02 1.88165555e+01]
 [2.22189140e+02 1.07769572e+01]
 [2.22242490e+02 1.17374966e+01]
 [2.22295840e+02 7.69816927e+00]
 [2.22349190e+02 8.65897819e+00]
 [2.22402530e+02 2.61993375e+00]
 [2.22455870e+02 3.58103163e+00]
 [2.22509200e+02 9.54228219e+00]
 [2.22562530e+02 1.05036812e+01]
 [2.22615850e+02 1.54652390e+01]
 [2.22669170e+02 1.84269515e+01]
 [2.22722490e+02 1.53888218e+01]
 [2.22775800e+02 1.93508602e+01]
 [2.22829100e+02 1.03130699e+01]
 [2.22882400e+02 1.72754468e+01]
 [2.22935700e+02 1.62379942e+01]
 [2.22989000e+02 1.72007153e+01]
 [2.23042280e+02 2.61636274e+01]
 [2.23095570e+02 2.01267127e+01]
 [2.23148850e+02 1.00899885e+01]
 [2.23202120e+02 1.20534578e+01]
